10016|basculin-blue-striped|Hostile Pokémon|Though it differs from other Basculin in several respects, including demeanor this one is gentle I have categorized it as a regional form given the vast array of shared qualities.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10016.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10016.png|water|rock-head, adaptability, mold-breaker|C |B |C-|B-|D |B+|3|3|40|blue-striped
10098|pikachu-kalos-cap|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10098.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10098.png|electric|static, lightning-rod|D-|D |D-|D-|D-|B |1|3|13|kalos-cap
10099|pikachu-alola-cap|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10099.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10099.png|electric|static, lightning-rod|D-|D |D-|D-|D-|B |1|3|13|alola-cap
10136|minior-red|Meteor Pokémon|It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10136.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10136.png|rock, flying|shields-down|D+|A-|D+|A-|D+|A |0|11|1|red
10137|minior-orange|Meteor Pokémon|It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10137.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10137.png|rock, flying|shields-down|D+|A-|D+|A-|D+|A |0|11|1|orange
10138|minior-yellow|Meteor Pokémon|It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10138.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10138.png|rock, flying|shields-down|D+|A-|D+|A-|D+|A |0|11|1|yellow
10139|minior-green|Meteor Pokémon|It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10139.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10139.png|rock, flying|shields-down|D+|A-|D+|A-|D+|A |0|11|1|green
10140|minior-blue|Meteor Pokémon|It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10140.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10140.png|rock, flying|shields-down|D+|A-|D+|A-|D+|A |0|11|1|blue
10141|minior-indigo|Meteor Pokémon|It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10141.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10141.png|rock, flying|shields-down|D+|A-|D+|A-|D+|A |0|11|1|indigo
10142|minior-violet|Meteor Pokémon|It lives in the ozone layer, where it becomes food for stronger Pokémon. When it tries to run away, it falls to the ground.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10142.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10142.png|rock, flying|shields-down|D+|A-|D+|A-|D+|A |0|11|1|violet
10147|magearna-original|Artificial Pokémon|It synchronizes its consciousness with others to understand their feelings. This faculty makes it useful for taking care of people.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10147.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10147.png|steel, fairy|soul-heart|B-|B+|A |A+|A |C-|3|3|177|original
10148|pikachu-partner-cap|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10148.png|https://www.pokemoncenter.com/images/DAMRoot/High/10000/P7063_701-08397_01.jpg|electric|static, lightning-rod|D-|D |D-|D-|D-|B |1|3|13|partner-cap
10158|pikachu-starter|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10158.png|https://www.pokemoncenter.com/images/DAMRoot/High/10000/P7063_701-08397_01.jpg|electric|static, lightning-rod|D-|B-|D-|C+|D+|A |1|3|13|starter
10159|eevee-starter|Evolution Pokémon|EEVEE has an unstable genetic makeup that suddenly mutates due to the environment in which it lives. Radiation from various STONES causes this POKéMON to evolve.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10159.png|https://www.pokemoncenter.com/images/DAMRoot/High/10000/P7063_701-08397_01.jpg|normal|run-away, adaptability, anticipation|C-|C+|C |C-|B-|C+|0|11|14|starter
10160|pikachu-world-cap|Mouse Pokémon|This POKéMON has electricity storing pouches on its cheeks. These appear to become electrically charged during the night while PIKACHU sleeps. It occasionally discharges electricity when it is dozy after waking up.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10160.png|https://www.pokemoncenter.com/images/DAMRoot/High/10000/P7063_701-08397_01.jpg|electric|static, lightning-rod|D-|D |D-|D-|D-|B |1|3|13|world-cap
10185|eiscue-noice|Penguin Pokémon|This Pokémon keeps its heat sensitive head cool with ice. It fishes for its food, dangling its single hair into the sea to lure in prey.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10185.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10185.png|ice|ice-face|C+|B-|C |C-|D-|A+|4|7|196|noice
10192|zarude-dada|Rogue Monkey Pokémon|Within dense forests, this Pokémon lives in a pack with others of its kind. It's incredibly aggressive, and the other Pokémon of the forest fear it.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10192.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/893-dada.png|dark, grass|leaf-guard|A-|A |A-|C |B+|A-|5|10|154|dada
10255|dudunsparce-three-segment|Land Snake Pokémon|This Pokémon uses its hard tail to make its nest by boring holes into bedrock deep underground. The nest can reach lengths of over six miles.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10255.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/home/shiny/10255.png|normal|serene-grace, run-away, rattled|A+|A-|B-|B-|C+|D |14|9|104|three-segment
10260|squawkabilly-blue-plumage|Parrot Pokémon|Green feathered flocks hold the most sway. When they're out searching for food in the mornings and evenings, it gets very noisy.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10260.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10260.png|normal, flying|intimidate, hustle, guts|B-|B+|D |D-|D |B |1|11|5|blue-plumage
10261|squawkabilly-yellow-plumage|Parrot Pokémon|Green feathered flocks hold the most sway. When they're out searching for food in the mornings and evenings, it gets very noisy.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10261.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10261.png|normal, flying|intimidate, hustle, sheer-force|B-|B+|D |D-|D |B |1|11|5|yellow-plumage
10262|squawkabilly-white-plumage|Parrot Pokémon|Green feathered flocks hold the most sway. When they're out searching for food in the mornings and evenings, it gets very noisy.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10262.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10262.png|normal, flying|intimidate, hustle, sheer-force|B-|B+|D |D-|D |B |1|11|5|white-plumage
10250|tauros-paldea-combat-breed|Wild Bull Pokémon|This POKéMON is not satisfied unless it is rampaging at all times. If there is no opponent for TAUROS to battle, it will charge at thick trees and knock them down to calm itself.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10250.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10250.png|fighting|intimidate, anger-point, cud-chew|C+|A-|A-|D-|C |A-|4|7|254|paldea-combat-breed
10251|tauros-paldea-blaze-breed|Wild Bull Pokémon|This POKéMON is not satisfied unless it is rampaging at all times. If there is no opponent for TAUROS to battle, it will charge at thick trees and knock them down to calm itself.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10251.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10251.png|fighting, fire|intimidate, anger-point, cud-chew|C+|A-|A-|D-|C |A-|4|7|187|paldea-blaze-breed
10252|tauros-paldea-aqua-breed|Wild Bull Pokémon|This POKéMON is not satisfied unless it is rampaging at all times. If there is no opponent for TAUROS to battle, it will charge at thick trees and knock them down to calm itself.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10252.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10252.png|fighting, water|intimidate, anger-point, cud-chew|C+|A-|A-|D-|C |A-|4|7|243|paldea-aqua-breed
10191|urshifu-rapid-strike|Wushu Pokémon|This form of Urshifu is a strong believer in the one hit KO. Its strategy is to leap in close to foes and land a devastating blow with a hardened fist.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10191.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10191.png|fighting, water|unseen-fist|A-|A+|A-|C-|D+|B+|6|2|231|rapid-strike
10193|calyrex-ice|King Pokémon|Calyrex is known in legend as a king that ruled over Galar in ancient times. It has the power to cause hearts to mend and plants to spring forth.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10193.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10193.png|psychic, ice|as-one-glastrier|A-|S |S-|B-|A+|D-|7|10|1784|ice
10194|calyrex-shadow|King Pokémon|Calyrex is known in legend as a king that ruled over Galar in ancient times. It has the power to cause hearts to mend and plants to spring forth.|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/10194.png|https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/other/official-artwork/shiny/10194.png|psychic, ghost|as-one-spectrier|A-|B-|B-|S |A-|S-|7|10|118|shado
